Latitude	Longitude
31.819144	-106.271374
31.819246	-106.361543
31.81926	-106.271629
31.819363	-106.271891
31.819372	-106.361421
31.819452	-106.272162
31.819494	-106.361302
31.819539	-106.272437
31.819618	-106.361187
31.819619	-106.272711
31.819696	-106.272982
31.819737	-106.361072
31.819777	-106.273251
31.819855	-106.360959
31.819858	-106.273525
31.81994	-106.273799
31.819972	-106.360845
31.820023	-106.274064
31.820088	-106.360736
31.820104	-106.274326
31.820185	-106.274589
31.820199	-106.360623
31.820267	-106.274853
31.820313	-106.360513
31.820349	-106.275113
31.820428	-106.360405
31.82043	-106.275366
31.820513	-106.275622
31.820539	-106.360295
31.820593	-106.275878
31.820652	-106.360184
31.820674	-106.276131
31.820755	-106.276381
31.820764	-106.360075
31.820837	-106.276632
31.820875	-106.359967
31.820918	-106.276884
31.820983	-106.359866
31.821	-106.277136
31.82108	-106.277388
31.821085	-106.359766
31.82116	-106.277638
31.821187	-106.359667
31.821241	-106.277891
31.821291	-106.359571
31.821324	-106.278146
31.821392	-106.359478
31.821408	-106.2784
31.821492	-106.359384
31.821493	-106.278653
31.821571	-106.278898
31.821584	-106.359293
31.821653	-106.279152
31.82168	-106.359207
31.821733	-106.279404
31.821773	-106.359122
31.821816	-106.279652
31.821862	-106.359039
31.821898	-106.279899
31.821948	-106.358954
31.82198	-106.28015
31.822036	-106.358869
31.822063	-106.280404
31.822122	-106.358787
31.822148	-106.280657
31.822213	-106.358706
31.822228	-106.280908
31.822305	-106.358621
31.822311	-106.281156
31.822397	-106.281408
31.822402	-106.358536
31.822476	-106.281661
31.822494	-106.358453
31.822556	-106.281909
31.822585	-106.358371
31.82264	-106.282161
31.822667	-106.35829
31.822722	-106.28241
31.822744	-106.358212
31.822805	-106.282667
31.822818	-106.358138
31.822889	-106.282927
31.822893	-106.35807
31.822963	-106.358001
31.82297	-106.283185
31.823029	-106.357935
31.823055	-106.283439
31.823093	-106.357871
31.82314	-106.283691
31.823151	-106.357807
31.823208	-106.357742
31.823223	-106.283945
31.823263	-106.357677
31.823304	-106.284203
31.823315	-106.357617
31.823367	-106.357568
31.823388	-106.284459
31.823411	-106.357515
31.823452	-106.357467
31.823473	-106.284715
31.823496	-106.357414
31.823542	-106.357356
31.823559	-106.284974
31.823597	-106.357334
31.823644	-106.285231
31.823654	-106.357343
31.823706	-106.357378
31.823726	-106.285488
31.82376	-106.357431
31.823809	-106.28575
31.82382	-106.357496
31.823884	-106.357567
31.82389	-106.286013
31.823958	-106.357649
31.823972	-106.286274
31.824034	-106.35774
31.824055	-106.286533
31.82411	-106.357831
31.824138	-106.286794
31.824189	-106.357928
31.824224	-106.287057
31.824276	-106.358035
31.824307	-106.287326
31.82437	-106.358148
31.824394	-106.287589
31.824465	-106.358259
31.824481	-106.287853
31.824559	-106.358365
31.824565	-106.288119
31.824649	-106.288382
31.824658	-106.358486
31.824736	-106.288642
31.824756	-106.358606
31.824825	-106.288902
31.824854	-106.358726
31.824913	-106.289168
31.824957	-106.358851
31.824996	-106.289438
31.825065	-106.358979
31.82508	-106.289702
31.825165	-106.289966
31.825175	-106.359112
31.825251	-106.290229
31.825287	-106.359247
31.82534	-106.290489
31.8254	-106.359384
31.825428	-106.290753
31.825514	-106.359521
31.825515	-106.291022
31.825602	-106.291294
31.82563	-106.359658
31.825688	-106.291567
31.825746	-106.359794
31.825775	-106.291832
31.825861	-106.35993
31.825863	-106.292097
31.825952	-106.292359
31.825977	-106.360069
31.826039	-106.292619
31.826091	-106.360204
31.826128	-106.292882
31.826204	-106.360343
31.826216	-106.293148
31.8263	-106.293418
31.826318	-106.360479
31.826384	-106.293688
31.826432	-106.360615
31.826468	-106.293957
31.826546	-106.360749
31.826552	-106.294227
31.826635	-106.294494
31.82666	-106.360886
31.826721	-106.294755
31.826774	-106.361023
31.826804	-106.295014
31.826888	-106.361158
31.826888	-106.295269
31.826965	-106.295517
31.827001	-106.361289
31.827045	-106.295776
31.827111	-106.361422
31.827128	-106.296036
31.827207	-106.296287
31.82722	-106.361552
31.827287	-106.296539
31.827329	-106.361683
31.827366	-106.296791
31.82744	-106.361812
31.827449	-106.297041
31.82753	-106.297287
31.827549	-106.361939
31.827608	-106.297533
31.827658	-106.362066
31.827686	-106.29778
31.827763	-106.362184
31.827768	-106.298033
31.827849	-106.298288
